ClipName,Frame,RootT.x,RootT.z,LFootT.x,LFootT.z,LFootQ.x,LFootQ.y,LFootQ.z,LFootQ.w,LFootV.x,LFootV.z,RFootT.x,RFootT.z,RFootQ.x,RFootQ.y,RFootQ.z,RFootQ.w,RFootV.x,RFootV.z,TrajPos.x,TrajPos.z,TrajForward.x,TrajForward.z
Idle,0,-0.01067648,8.462261E-05,-0.05942496,-0.0963023,-0.4540408,0.489094,-0.5184449,0.5363396,-0.001980832,-0.003210077,0.07708663,-0.1146759,-0.5005865,0.5251296,-0.4743767,0.5008301,0.002569554,-0.003822529,0,0,0.007687294,0.9984576
Idle,1,-0.01065959,0.0003577865,-0.06005395,-0.0973231,-0.4538274,0.4893789,-0.5184981,0.5363312,-0.002001798,-0.003244103,0.07653003,-0.115921,-0.5005299,0.5253385,-0.4742795,0.500828,0.002551001,-0.003864035,1.688674E-05,0.0002731639,0.006969929,0.9984499
Idle,2,-0.0106167,0.0003721313,-0.06043804,-0.09763185,-0.4536183,0.4896183,-0.5185599,0.5363143,-0.002014601,-0.003254395,0.07622933,-0.1163491,-0.5005562,0.5255392,-0.4741873,0.5007914,0.002540977,-0.003878302,5.977508E-05,0.0002875087,0.006673237,0.9984601
Idle,3,-0.01052473,0.0004694705,-0.06072363,-0.09767351,-0.453414,0.4898143,-0.5186306,0.5362892,-0.002024121,-0.003255784,0.07590801,-0.1164063,-0.5006075,0.5257305,-0.4741028,0.5007239,0.002530267,-0.003880211,0.000151746,0.0003848479,0.006440138,0.998473
Idle,4,-0.0103606,0.0002679089,-0.06115886,-0.09738959,-0.4532149,0.4899692,-0.5187106,0.5362561,-0.002038629,-0.00324632,0.07531486,-0.116136,-0.5006215,0.5259115,-0.4740281,0.5006294,0.002510495,-0.003871199,0.0003158757,0.0001832862,0.006290228,0.9984711
Idle,5,-0.01016045,0.0001221147,-0.06167076,-0.09724798,-0.4530216,0.4900849,-0.5188001,0.536215,-0.002055692,-0.003241599,0.07467618,-0.1160165,-0.5006008,0.5260812,-0.4739656,0.5005115,0.002489206,-0.003867218,0.0005160281,3.749207E-05,0.006316307,0.9984527
Idle,6,-0.01015316,9.540672E-05,-0.06199358,-0.09742519,-0.4528344,0.4901636,-0.5188994,0.5361662,-0.002066453,-0.003247506,0.07441097,-0.1162353,-0.5005479,0.5262385,-0.4739178,0.5003741,0.002480366,-0.00387451,0.0005233157,1.078411E-05,0.006580393,0.9984317
Idle,7,-0.01051601,0.0005702367,-0.06191319,-0.09826793,-0.4526539,0.4902075,-0.5190088,0.5361097,-0.002063773,-0.003275598,0.07455976,-0.1172918,-0.5004653,0.5263824,-0.4738871,0.500221,0.002485325,-0.003909727,0.0001604641,0.0004856141,0.006491062,0.9984178
Idle,8,-0.01057499,0.000435696,-0.06227009,-0.09844896,-0.4524805,0.4902186,-0.5191286,0.5360459,-0.00207567,-0.003281632,0.07418784,-0.117355,-0.5003555,0.5265118,-0.4738757,0.5000558,0.002472928,-0.003911834,0.0001014909,0.0003510734,0.006375337,0.9984054
Idle,9,-0.01057329,0.0004540875,-0.06289074,-0.09857288,-0.4523146,0.4901992,-0.5192591,0.5359748,-0.002096358,-0.003285763,0.07354259,-0.1164734,-0.500221,0.5266257,-0.4738861,0.4998825,0.00245142,-0.003882448,0.0001031896,0.0003694649,0.005981873,0.9983984
