ClipName,Frame,RootT.x,RootT.y,RootT.z,FootLeftT.x,FootLeftT.y,FootLeftT.z,FootRightT.x,FootRightT.y,FootRightT.z,FootLeftV.x,FootLeftV.y,FootLeftV.z,FootRightV.x,FootRightV.y,FootRightV.z,rootV.x,rootV.x,rootV.x,RootQ.x,RootQ.y,RootQ.z,RootQ.w
Idle,0,-0.812959,93.73209,2.598159,-6.917766,-85.8735,-11.20132,6.614688,-85.96927,-13.04036,-0.02709863,3.124403,0.0866053,-0.2305922,-2.86245,-0.3733774,0.2204896,-2.865642,-0.4346787,0,0,0,1
Idle,1,-0.803178,93.73222,2.529322,-6.94397,-85.86606,-11.17939,6.59202,-85.96137,-13.02786,0.0003260334,4.323324E-06,-0.002294572,-0.0008734862,0.0002482096,0.0007309278,-0.0007555961,0.0002632141,0.0004166285,0,0,0,1
Idle,2,-0.8130668,93.73262,2.473683,-6.953924,-85.85837,-11.17397,6.586647,-85.95309,-13.02722,-0.0003296276,1.322428E-05,-0.001854642,-0.0003317833,0.0002563476,0.0001806577,-0.0001791,0.0002759298,2.145767E-05,0,0,0,1
Idle,3,-0.8235742,93.73325,2.446904,-6.971696,-85.85047,-11.24419,6.572961,-85.9445,-13.0869,-0.0003502468,2.085368E-05,-0.0008926233,-0.0005924066,0.0002632141,-0.002340571,-0.0004561901,0.0002863566,-0.001989301,0,0,0,1
Idle,4,-0.8177327,93.73407,2.458099,-7.021357,-85.84238,-11.38507,6.525356,-85.93568,-13.21741,0.0001947165,2.746582E-05,0.0003731569,-0.001655356,0.0002698262,-0.004695956,-0.00158685,0.000293986,-0.004350503,0,0,0,1
Idle,5,-0.8039857,93.73505,2.492621,-7.095428,-85.83414,-11.50574,6.453525,-85.9267,-13.36152,0.0004582345,3.28064E-05,0.001150759,-0.002469047,0.0002746582,-0.004022376,-0.002394358,0.0002995809,-0.004803435,0,0,0,1
Idle,6,-0.7918353,93.73618,2.530499,-7.157828,-85.82576,-11.56722,6.395823,-85.91761,-13.46196,0.0004050116,3.763835E-05,0.001262585,-0.002079996,0.0002792358,-0.002049351,-0.001923402,0.000302887,-0.003348096,0,0,0,1
Idle,7,-0.7913922,93.7374,2.551759,-7.189718,-85.81729,-11.59832,6.369631,-85.9085,-13.50796,1.477003E-05,4.069011E-05,0.0007086516,-0.001062997,0.0002822876,-0.001036549,-0.0008730571,0.0003036499,-0.001533318,0,0,0,1
Idle,8,-0.7851685,93.7387,2.554678,-7.215273,-85.80875,-11.60984,6.346699,-85.89944,-13.53267,0.000207456,4.323323E-05,9.730657E-05,-0.0008518537,0.0002845764,-0.0003841082,-0.0007644017,0.0003018697,-0.0008238793,0,0,0,1
Idle,9,-0.7484097,93.74004,2.552609,-7.258896,-85.80018,-11.6126,6.301553,-85.89051,-13.54478,0.001225293,4.475912E-05,-6.895066E-05,-0.001454099,0.000285848,-9.206136E-05,-0.001504882,0.0002978007,-0.0004033725,0,0,0,1
Idle,10,-0.7232367,93.74139,2.548191,-7.302084,-85.7916,-11.61742,6.255744,-85.88177,-13.55293,0.0008391023,4.475912E-05,-0.0001472791,-0.001439587,0.0002861023,-0.0001604716,-0.001526976,0.0002914429,-0.0002717972,0,0,0,1
Idle,11,-0.7208485,93.74271,2.553462,-7.326333,-85.78304,-11.6351,6.230822,-85.87329,-13.5658,7.960598E-05,4.399618E-05,0.0001756907,-0.0008082867,0.0002853394,-0.0005892754,-0.0008307298,0.0002825419,-0.0004291534,0,0,0,1
Idle,12,-0.7544208,93.74397,2.569319,-7.349457,-85.77453,-11.65938,6.228461,-85.86515,-13.59207,-0.001119077,4.221598E-05,0.0005285899,-0.0007708073,0.0002835592,-0.0008095742,-7.869403E-05,0.0002713521,-0.0008754095,0,0,0,1
Idle,13,-0.7473723,93.74516,2.581692,-7.398248,-85.7661,-11.67555,6.196514,-85.85741,-13.56989,0.0002349496,3.941854E-05,0.0004124085,-0.001626364,0.000281016,-0.0005389532,-0.001064889,0.0002578735,0.0007391294,0,0,0,1
Idle,14,-0.7306887,93.74622,2.590758,-7.467667,-85.75777,-11.6817,6.124008,-85.85017,-13.53371,0.0005561213,3.534953E-05,0.0003022273,-0.002313964,0.0002774556,-0.0002050718,-0.002416865,0.0002415975,0.001206176,0,0,0,1
Idle,15,-0.7341433,93.74712,2.592494,-7.526589,-85.74959,-11.67594,6.052304,-85.84346,-13.5683,-0.0001151542,3.026327E-05,5.784035E-05,-0.001964076,0.000272878,0.0001921018,-0.00239013,0.0002235413,-0.001153056,0,0,0,1
Idle,16,-0.7478386,93.74786,2.581658,-7.554922,-85.74158,-11.65636,6.000726,-85.83738,-13.58215,-0.000456508,2.441406E-05,-0.0003611883,-0.0009444237,0.0002670288,0.0006525675,-0.001719284,0.0002026876,-0.0004617691,0,0,0,1
Idle,17,-0.7593378,93.74837,2.587019,-7.564171,-85.73376,-11.64194,5.988595,-85.832,-13.5626,-0.0003833075,1.703898E-05,0.0001786947,-0.000308307,0.000260671,0.0004807154,-0.000404342,0.0001792908,0.0006517092,0,0,0,1
Idle,18,-0.7588881,93.74864,2.612993,-7.565845,-85.72617,-11.64885,5.995782,-85.82738,-13.56661,1.499057E-05,9.155274E-06,0.0008658091,-5.580584E-05,0.0002527873,-0.0002303441,0.000239563,0.0001538595,-0.000133578,0,0,0,1
Idle,19,-0.7558472,93.74863,2.643467,-7.571451,-85.71884,-11.67101,5.999289,-85.82361,-13.58721,0.0001013617,-2.543132E-07,0.001015806,-0.0001868725,0.0002443949,-0.0007385254,0.0001168728,0.000125885,-0.000686868,0,0,0,1
Idle,20,-0.7664444,93.74831,2.678273,-7.559968,-85.7118,-11.70232,6.014139,-85.82074,-13.61745,-0.000353241,-1.068115E-05,0.001160193,0.0003827731,0.000234731,-0.001043828,0.0004950205,9.562175E-05,-0.001008002,0,0,0,1
Idle,21,-0.8017101,93.74767,2.717242,-7.519629,-85.70507,-11.73671,6.055358,-85.81886,-13.65037,-0.001175523,-2.161662E-05,0.00129896,0.001344633,0.0002243042,-0.001146317,0.001373974,6.281535E-05,-0.001097107,0,0,0,1
Idle,22,-0.8374803,93.74664,2.760205,-7.475825,-85.69868,-11.76809,6.095974,-85.81802,-13.67899,-0.001192339,-3.433228E-05,0.001432117,0.001460123,0.0002128601,-0.001045863,0.001353852,2.772013E-05,-0.0009541512,0,0,0,1
Turn45Left,0,-0.812959,93.73209,2.598159,-6.917766,-85.8735,-11.20132,6.614688,-85.96927,-13.04036,-0.02709863,3.124403,0.0866053,-0.2305922,-2.86245,-0.3733774,0.2204896,-2.865642,-0.4346787,0,0,0,1
Turn45Left,1,-0.803178,93.73222,2.529322,-6.94397,-85.86606,-11.17939,6.59202,-85.96137,-13.02786,0.0003260334,4.323324E-06,-0.002294572,-0.0008734862,0.0002482096,0.0007309278,-0.0007555961,0.0002632141,0.0004166285,0,0,0,1
Turn45Left,2,-0.8130668,93.73262,2.473683,-6.953924,-85.85837,-11.17397,6.586647,-85.95309,-13.02722,-0.0003296276,1.322428E-05,-0.001854642,-0.0003317833,0.0002563476,0.0001806577,-0.0001791,0.0002759298,2.145767E-05,0,0,0,1
Turn45Left,3,-0.8235742,93.73325,2.446904,-6.971696,-85.85047,-11.24419,6.572961,-85.9445,-13.0869,-0.0003502468,2.085368E-05,-0.0008926233,-0.0005924066,0.0002632141,-0.002340571,-0.0004561901,0.0002863566,-0.001989301,0,0,0,1
Turn45Left,4,-0.8177327,93.73407,2.458099,-7.021357,-85.84238,-11.38507,6.525356,-85.93568,-13.21741,0.0001947165,2.746582E-05,0.0003731569,-0.001655356,0.0002698262,-0.004695956,-0.00158685,0.000293986,-0.004350503,0,0,0,1
Turn45Left,5,-0.8039857,93.73505,2.492621,-7.095428,-85.83414,-11.50574,6.453525,-85.9267,-13.36152,0.0004582345,3.28064E-05,0.001150759,-0.002469047,0.0002746582,-0.004022376,-0.002394358,0.0002995809,-0.004803435,0,0,0,1
Turn45Left,6,-0.7918353,93.73618,2.530499,-7.157828,-85.82576,-11.56722,6.395823,-85.91761,-13.46196,0.0004050116,3.763835E-05,0.001262585,-0.002079996,0.0002792358,-0.002049351,-0.001923402,0.000302887,-0.003348096,0,0,0,1
Turn45Left,7,-0.7913922,93.7374,2.551759,-7.189718,-85.81729,-11.59832,6.369631,-85.9085,-13.50796,1.477003E-05,4.069011E-05,0.0007086516,-0.001062997,0.0002822876,-0.001036549,-0.0008730571,0.0003036499,-0.001533318,0,0,0,1
Turn45Left,8,-0.7851685,93.7387,2.554678,-7.215273,-85.80875,-11.60984,6.346699,-85.89944,-13.53267,0.000207456,4.323323E-05,9.730657E-05,-0.0008518537,0.0002845764,-0.0003841082,-0.0007644017,0.0003018697,-0.0008238793,0,0,0,1
Turn45Left,9,-0.7484097,93.74004,2.552609,-7.258896,-85.80018,-11.6126,6.301553,-85.89051,-13.54478,0.001225293,4.475912E-05,-6.895066E-05,-0.001454099,0.000285848,-9.206136E-05,-0.001504882,0.0002978007,-0.0004033725,0,0,0,1
Turn45Left,10,-0.7232367,93.74139,2.548191,-7.302084,-85.7916,-11.61742,6.255744,-85.88177,-13.55293,0.0008391023,4.475912E-05,-0.0001472791,-0.001439587,0.0002861023,-0.0001604716,-0.001526976,0.0002914429,-0.0002717972,0,0,0,1
Turn45Left,11,-0.7208485,93.74271,2.553462,-7.326333,-85.78304,-11.6351,6.230822,-85.87329,-13.5658,7.960598E-05,4.399618E-05,0.0001756907,-0.0008082867,0.0002853394,-0.0005892754,-0.0008307298,0.0002825419,-0.0004291534,0,0,0,1
Turn45Left,12,-0.7544208,93.74397,2.569319,-7.349457,-85.77453,-11.65938,6.228461,-85.86515,-13.59207,-0.001119077,4.221598E-05,0.0005285899,-0.0007708073,0.0002835592,-0.0008095742,-7.869403E-05,0.0002713521,-0.0008754095,0,0,0,1
Turn45Left,13,-0.7473723,93.74516,2.581692,-7.398248,-85.7661,-11.67555,6.196514,-85.85741,-13.56989,0.0002349496,3.941854E-05,0.0004124085,-0.001626364,0.000281016,-0.0005389532,-0.001064889,0.0002578735,0.0007391294,0,0,0,1
Turn45Left,14,-0.7306887,93.74622,2.590758,-7.467667,-85.75777,-11.6817,6.124008,-85.85017,-13.53371,0.0005561213,3.534953E-05,0.0003022273,-0.002313964,0.0002774556,-0.0002050718,-0.002416865,0.0002415975,0.001206176,0,0,0,1
Turn45Left,15,-0.7341433,93.74712,2.592494,-7.526589,-85.74959,-11.67594,6.052304,-85.84346,-13.5683,-0.0001151542,3.026327E-05,5.784035E-05,-0.001964076,0.000272878,0.0001921018,-0.00239013,0.0002235413,-0.001153056,0,0,0,1
Turn45Left,16,-0.7478386,93.74786,2.581658,-7.554922,-85.74158,-11.65636,6.000726,-85.83738,-13.58215,-0.000456508,2.441406E-05,-0.0003611883,-0.0009444237,0.0002670288,0.0006525675,-0.001719284,0.0002026876,-0.0004617691,0,0,0,1
Turn45Left,17,-0.7593378,93.74837,2.587019,-7.564171,-85.73376,-11.64194,5.988595,-85.832,-13.5626,-0.0003833075,1.703898E-05,0.0001786947,-0.000308307,0.000260671,0.0004807154,-0.000404342,0.0001792908,0.0006517092,0,0,0,1
Turn45Left,18,-0.7588881,93.74864,2.612993,-7.565845,-85.72617,-11.64885,5.995782,-85.82738,-13.56661,1.499057E-05,9.155274E-06,0.0008658091,-5.580584E-05,0.0002527873,-0.0002303441,0.000239563,0.0001538595,-0.000133578,0,0,0,1
Turn45Left,19,-0.7558472,93.74863,2.643467,-7.571451,-85.71884,-11.67101,5.999289,-85.82361,-13.58721,0.0001013617,-2.543132E-07,0.001015806,-0.0001868725,0.0002443949,-0.0007385254,0.0001168728,0.000125885,-0.000686868,0,0,0,1
Turn45Left,20,-0.7664444,93.74831,2.678273,-7.559968,-85.7118,-11.70232,6.014139,-85.82074,-13.61745,-0.000353241,-1.068115E-05,0.001160193,0.0003827731,0.000234731,-0.001043828,0.0004950205,9.562175E-05,-0.001008002,0,0,0,1
Turn45Left,21,-0.8017101,93.74767,2.717242,-7.519629,-85.70507,-11.73671,6.055358,-85.81886,-13.65037,-0.001175523,-2.161662E-05,0.00129896,0.001344633,0.0002243042,-0.001146317,0.001373974,6.281535E-05,-0.001097107,0,0,0,1
Turn45Left,22,-0.8374803,93.74664,2.760205,-7.475825,-85.69868,-11.76809,6.095974,-85.81802,-13.67899,-0.001192339,-3.433228E-05,0.001432117,0.001460123,0.0002128601,-0.001045863,0.001353852,2.772013E-05,-0.0009541512,0,0,0,1
Turn45Left,23,-325.7213,92.96692,1221.521,-7.778527,-83.02507,-22.83809,5.515038,-83.39095,-23.65925,-10.82946,-0.02599055,40.62536,-0.01009007,0.08912048,-0.3689999,-0.01936453,0.08090261,-0.3326752,0,0,0,1
