  enClue;daClue;enNote;daNote;enCase;daCase
"In the blackest of lights, you’ll see what he hides...
";I det Sorteste lys, vil du se hvad han gemmer...;Blackest of lights... Hmm...;Det sorteste lys... Hmm...;"Incident information:
Madeleine Carter has been missing for 6 days. She is the 6’th girl who’s gone missing in the past months. All with similar appearance to Madeleine.

Day/date/Time of incident: Monday, june 6, 1957
Location of Incident: Road between Orchard Avenue and Hill Roads  
                                                                                                                                                                                                                    Victim information:
Name: Madeleine “Maddy” Carter
Age: 7
Sex: Female
Victim type: Child 
DOB: 12/11/1950
Race: Caucasian
Eye colour: Blue
Hair colour: Black/Dark Brown
Offenses of victim: Missing (Suspected kidnapping)
Weapons involved: Unknown
                                                                                                                                                                                                                      Suspect Information:
Name: Douglas Adler
Age: 59
Sex: Male
Suspect type: Adult
DOB: 06/07/1898
Race: Caucasian
Eye colour: Brown
Hair colour: Black and grey
Suspect location: Orchard Manor
Weapons involved: Unknown
                                                                                                                                                                                                               Witness information:
Madeliene Carter was last seen leaving her school, walking on the roadside near the avenue leading to the Orchard Manor. She had been seen the day before, with her parents, attending
the charity event for the children's hospital, hosted by Douglas Adler, the lord of the Orchard Manor and a prominent charity fundraiser, living outskirts from the community.

During the event, Madeleine was held in high regard by the elder man, and many witnesses say they saw him crying when he saw her.
                                                                                           ";"Information om utilsigtet hændelse:
Madeleine Carter har været forsvundet de sidste seks dage. Hun er den sjette pige der er forsvundet i de sidste seks måneder. Alle med lignende udseende til Madeleine.

Dag/Dato/Tid for hændelse: Mandag, 6. Juni, 1957
Lokation for hændelse: Landevejen mellem Orchard Avenue og Hill Roads


Offer Information:
Navn: Madeleine “Maddy” Carter
Alder: 7
Køn: Kvinde
Offer type: Barn
Fødselsdato: 12/11/1950
Race: Kaukasisk 
Øjenfarve: Blå
Hår farve: Sort/Mørke brun
Overtrædelser af offer: forsvundet (mistænkt kidnapning)
Våben involveret: Ukendt


Mistænkte Information:
Navn: Douglas Adler
Alder: 59
Køn: Mand
Mistænkte type: Voksen 
Fødselsdato: 06/07/1898
Race: Kaukasisk
Øjenfarve: Brun
Hår farve: Sort og grå
Mistænkte location: Orchard Manor
Våben involveret: Ukendt


Vidne Information:
Madeleine Carter var sidst set forlade sin skole, gående på landevejen nær Orchard Avenue, som leder op til Orchard Manor. Hun blev set dagen før, med sine forældre, deltage i velgørenheds begivenheden for børnehospitalet, betalt for af Douglas Adler, Herren af Orchard Manor og en fremtrædende velgørenheds vært, som bor i udkanten af kommunen. 

Madeleine blev, under begivenheden, taget meget godt imod af den ældre mand, og mange vidner siger de så ham græde da han først så hende.
"
But turn on the lights, to see other crimes...;Men tænd for dit lys, for at se hvad der hænder...;;;;
There was life here once... So beautiful... Serene...;Her var fuld af liv engang... Så smukt... så fredsommeligt...;;;;
I would listen to the most wonderful music. Jazz, Swing, Blues...;Jeg ville lytte til det mest vidunderlige musik. Jazz, Swing, Blues...;"Marianna Adler. The wife, The lady of the manor. Rumors says she killed herself in grief... Is she here right now? Do you see me mrs. Adler?                                                                     ""Yes....""  ";"Marianna Adler. Hustru, Madame af Godset. Rygterne siger hun tog sit liv i sorg. Er hun he nu? Kan du se mig, Frue Adler?                                                                                 ""Ja....""";;
My daughter... My lovely Anna... She was always so eager to go outside...;Min datter... Min elskede Anna... Hun var altid så begejstret for verden udenfor...;"Anna-Reece Adler. The beloved daughter. No one knows what happened to her, she just vanished one day back in 1928. She looks eerily similar to Madeleine...                                                                    ""More than you know.. It was his promise...""";"Anna-Reece adler. Den højt elskede datter. Ingen ved hvad der skete med hende, hun forsvandt pludseligt tilbage 1928. Hun ligner uhyggeligt meget Madeleine...                                              ""Mere end du forstår... Det var hans løfte...""";;
And him... My darling husband... So at peace watching the fire. Knowing not of the fire soon to rage in his heart...;Og han... Min dejlige mand... Stod med fred i sind foran pejsen. Så forfærdelig uvidende om den ild, der snart ville fortære hans hjerte...;"Douglas Adler. Lord of the Manor, ""Mr. Charity"" Himself... What are you hiding?                                      ""I know where it's hidden...""";"Douglas Adler. Herren a Godset. ""Hr. Velgørenhed"" selv... Hvad gemmer du på?                                                                                                    ""Jeg ved hvor det er gemt...""";;
My husband... has always been a secretive man. In spite of his many widely known charity causes, to which he often invited a highly odd assembly.;Min mand... har altid været fuld af hemmeligheder. Trods mange velkendte velgørenheds ordninger, til hvilke han ofte inviterede en højst besynderlig forsamling.;"He's done charity for that many years?                             ""To repent for his sins...""";"Har han vikelig være velgørende i så mange år?                                                                                           ""For at angre hans synd...""";;
Doctor Thompson, was an advocate  for health, yet Ironically, I never saw him wihout a cigar.;Doktor Thompson, var stor fortaler for godt helbred, dog har jeg aldrig set ham uden en cigar.;;;;
Mr. Edgar Coulson, as Mayor, he was a man of little time of little time to spare, always checking his pocket watch.;Hr. Edgar Coulson, havde, som borgmester, meget lidt tid til overs og tjekkede konstant has lommeur.;;;;
Mrs. Maria Coulson, who always sat across from me, was a lovely a madame. Especially chipper afte a good glass of wine.;Fru Maria Coulson, som altid overfor jeg selv, var herlig madam. Især efter et godt glas vin, eller to.;;;;
